Organization,category_list, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
1energy-systems,|Software|, Software ," 14,50,000 ",operating,USA,WA,Seattle,Seattle,1,1/1/2010,2010-01,2010-Q1,2010,4/22/2013,4/22/2013,0,1450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1life-healthcare,|Services|Health and Wellness|Health Care|, Health and Wellness ," 3,00,00,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,1/1/2002,2002-01,2002-Q1,2002,3/21/2013,3/21/2013,0,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,0,0,0
1mind,|Social Media|, Social Media ," 5,00,000 ",operating,USA,NH,"Manchester, New Hampshire",Hampton Falls,1,1/1/2011,2011-01,2011-Q1,2011,8/5/2013,8/5/2013,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1spire,|Manufacturing|, Manufacturing ,"30,000",operating,USA,TX,Houston,Houston,1,10/1/2011,2011-10,2011-Q4,2011,12/20/2011,12/20/2011,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1stdibs,|E-Commerce|, E-Commerce ," 11,70,00,000 ",operating,USA,NY,New York City,New York,4,1/1/2001,2001-01,2001-Q1,2001,11/3/2011,1/24/2014,0,57000000,0,60000000,0,0,0,0,0,0,0,0,0,0,0,15000000,0,0,0,0,0
1stgig-com,|E-Commerce|, E-Commerce ," 7,50,000 ",operating,USA,NY,"Albany, New York",Saratoga Springs,1,8/1/2009,2009-08,2009-Q3,2009,10/1/2012,10/1/2012,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1world-online,|Mobile|Analytics|Big Data|Enterprise Software|, Enterprise Software ," 15,00,000 ",operating,USA,CA,SF Bay Area,San Jose,2,12/1/2011,2011-12,2011-Q4,2011,7/2/2013,12/1/2013,0,1500000,0,0,0,0,0,0,0,0,0,0,0,1500000,0,0,0,0,0,0,0
20-20-gene-systems-inc,|Biotechnology|, Biotechnology ," 1,50,000 ",operating,USA,MD,"Washington, D.C.",Rockville,1,5/1/2000,2000-05,2000-Q2,2000,9/25/2012,9/25/2012,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2080-media,|News|, News ," 4,10,00,000 ",operating,USA,GA,Atlanta,Atlanta,5,1/1/2008,2008-01,2008-Q1,2008,8/5/2010,7/19/2013,0,35700000,0,0,0,5300000,0,0,0,0,0,0,0,2500000,0,0,26000000,0,0,0,0
20x200,|Social Commerce|Art|E-Commerce|, Art ," 28,00,000 ",operating,USA,NY,New York City,New York,2,9/1/2007,2007-09,2007-Q3,2007,10/1/2009,8/1/2010,0,2800000,0,0,0,0,0,0,0,0,0,0,0,2800000,0,0,0,0,0,0,0
